design_id,created_at,design_name,file_location,file_name,last_updated
8,2022-11-03 14:20:49.962000,Wooden,/usr,wooden-20220717-npgz.json,2022-11-03 14:20:49.962000
51,2023-01-12 18:50:09.935000,Bronze,/private,bronze-20221024-4dds.json,2023-01-12 18:50:09.935000
50,2023-01-12 16:31:09.694000,Granite,/private/var,granite-20220205-3vfw.json,2023-01-12 16:31:09.694000
14,2022-11-14 12:48:09.786000,Granite,/private/var,granite-20210406-uwqg.json,2022-11-14 12:48:09.786000
12,2022-11-08 15:41:09.927000,Frozen,/Library,frozen-20201124-fsdu.json,2022-11-08 15:41:09.927000
16,2022-11-22 15:02:10.226000,Soft,/System,soft-20211001-cjaz.json,2022-11-22 15:02:10.226000
53,2023-01-13 18:26:10.041000,Bronze,/etc/periodic,bronze-20221012-a8mw.json,2023-01-13 18:26:10.041000
54,2023-01-16 09:14:09.775000,Plastic,/usr/ports,plastic-20221206-bw3l.json,2023-01-16 09:14:09.775000
55,2023-01-19 08:10:10.138000,Concrete,/opt/include,concrete-20210614-04nd.json,2023-01-19 08:10:10.138000
17,2022-11-23 09:41:10.369000,Soft,/opt/bin,soft-20210904-uwsd.json,2022-11-23 09:41:10.369000
10,2022-11-03 14:20:49.962000,Soft,/usr/share,soft-20220201-hzz1.json,2022-11-03 14:20:49.962000
57,2023-01-19 10:37:09.965000,Cotton,/etc/periodic,cotton-20220527-vn4b.json,2023-01-19 10:37:09.965000
58,2023-01-19 15:24:09.841000,Soft,/etc/defaults,soft-20220713-5yjr.json,2023-01-19 15:24:09.841000
6,2022-11-03 14:20:49.962000,Fresh,/srv,fresh-20220807-6ycu.json,2022-11-03 14:20:49.962000
11,2022-11-04 13:23:10.192000,Cotton,/boot,cotton-20211005-yxjd.json,2022-11-04 13:23:10.192000
2,2022-11-03 14:20:49.962000,Steel,/etc/periodic,steel-20210725-fcxq.json,2022-11-03 14:20:49.962000
4,2022-11-03 14:20:49.962000,Granite,/usr/local/src,granite-20220430-l5fs.json,2022-11-03 14:20:49.962000
24,2022-12-01 15:52:09.837000,Granite,/etc/mail,granite-20210516-8b7j.json,2022-12-01 15:52:09.837000
26,2022-12-06 10:49:10.274000,Rubber,/usr/local/src,rubber-20220814-o6dm.json,2022-12-06 10:49:10.274000
29,2022-12-08 10:10:10.455000,Bronze,/etc/defaults,bronze-20210307-o8yd.json,2022-12-08 10:10:10.455000
30,2022-12-12 13:19:09.769000,Cotton,/etc,cotton-20220507-r5ui.json,2022-12-12 13:19:09.769000
31,2022-12-13 12:02:10.341000,Soft,/root,soft-20221103-i6wm.json,2022-12-13 12:02:10.341000
32,2022-12-13 14:29:09.742000,Plastic,/opt/share,plastic-20210324-jxeq.json,2022-12-13 14:29:09.742000
33,2022-12-14 10:59:10.140000,Steel,/media,steel-20220201-shjp.json,2022-12-14 10:59:10.140000
35,2022-12-16 13:32:10.149000,Wooden,/usr/share,wooden-20211125-6y56.json,2022-12-16 13:32:10.149000
36,2022-12-19 09:28:10.289000,Fresh,/usr/sbin,fresh-20221213-fhsy.json,2022-12-19 09:28:10.289000
59,2023-01-20 11:20:10.011000,Cotton,/var,cotton-20210901-bgz0.json,2023-01-20 11:20:10.011000
37,2022-12-20 09:36:10.121000,Frozen,/opt,frozen-20210909-nxsu.json,2022-12-20 09:36:10.121000
69,2023-02-07 17:31:10.093000,Bronze,/selinux,bronze-20230102-r904.json,2023-02-07 17:31:10.093000
19,2022-11-29 17:46:09.674000,Frozen,/opt/lib,frozen-20210815-rl8i.json,2022-11-29 17:46:09.674000
39,2022-12-26 16:26:09.730000,Granite,/net,granite-20220831-q5ev.json,2022-12-26 16:26:09.730000
15,2022-11-21 17:09:10.169000,Steel,/var/log,steel-20210707-zhuw.json,2022-11-21 17:09:10.169000
40,2022-12-30 09:56:09.979000,Metal,/lost+found,metal-20221004-53ba.json,2022-12-30 09:56:09.979000
72,2023-02-10 09:41:09.959000,Granite,/dev,granite-20211018-8105.json,2023-02-10 09:41:09.959000
25,2022-12-05 14:39:10.288000,Bronze,/opt/include,bronze-20211128-w9ae.json,2022-12-05 14:39:10.288000
42,2022-12-30 12:14:10.024000,Metal,/var/yp,metal-20220529-ke0x.json,2022-12-30 12:14:10.024000
43,2023-01-02 10:13:09.918000,Plastic,/private,plastic-20220327-9enf.json,2023-01-02 10:13:09.918000
21,2022-11-30 16:08:10.161000,Wooden,/opt/lib,wooden-20211225-adqt.json,2022-11-30 16:08:10.161000
44,2023-01-04 10:08:09.873000,Steel,/var/log,steel-20220628-dqrw.json,2023-01-04 10:08:09.873000
46,2023-01-05 11:29:09.797000,Granite,/var/tmp,granite-20210528-5n3g.json,2023-01-05 11:29:09.797000
20,2022-11-30 08:34:10.280000,Metal,/home,metal-20201229-s60u.json,2022-11-30 08:34:10.280000
48,2023-01-11 10:28:09.643000,Wooden,/home/user/dir,wooden-20220311-xzey.json,2023-01-11 10:28:09.643000
49,2023-01-12 08:17:09.972000,Bronze,/Users,bronze-20220422-3ly6.json,2023-01-12 08:17:09.972000
62,2023-01-23 09:14:09.932000,Granite,/etc/ppp,granite-20211004-j4iv.json,2023-01-23 09:14:09.932000
7,2022-11-03 14:20:49.962000,Wooden,/usr/obj,wooden-20211114-otpq.json,2022-11-03 14:20:49.962000
56,2023-01-19 08:35:09.665000,Steel,/usr/libdata,steel-20210123-65zd.json,2023-01-19 08:35:09.665000
3,2022-11-03 14:20:49.962000,Steel,/System,steel-20210621-13gb.json,2022-11-03 14:20:49.962000
28,2022-12-07 10:12:10.095000,Bronze,/usr/X11R6,bronze-20210303-d7r1.json,2022-12-07 10:12:10.095000
38,2022-12-23 09:39:10.132000,Soft,/var/mail,soft-20210917-8ej0.json,2022-12-23 09:39:10.132000
34,2022-12-15 14:20:10.047000,Wooden,/home/user/dir,wooden-20211101-2wja.json,2022-12-15 14:20:10.047000
47,2023-01-05 12:04:09.960000,Steel,/Users,steel-20210910-skxr.json,2023-01-05 12:04:09.960000
64,2023-02-01 08:30:10.501000,Plastic,/usr/X11R6,plastic-20220312-0d0w.json,2023-02-01 08:30:10.501000
66,2023-02-02 15:03:09.685000,Metal,/etc,metal-20220712-rp0w.json,2023-02-02 15:03:09.685000
67,2023-02-02 15:12:09.916000,Cotton,/usr/share,cotton-20220212-yxcz.json,2023-02-02 15:12:09.916000
68,2023-02-06 08:15:09.829000,Concrete,/usr/local/bin,concrete-20210929-235v.json,2023-02-06 08:15:09.829000
65,2023-02-02 14:30:09.915000,Frozen,/private,frozen-20210506-52tz.json,2023-02-02 14:30:09.915000
60,2023-01-20 18:01:09.836000,Fresh,/usr,fresh-20211212-anbo.json,2023-01-20 18:01:09.836000
70,2023-02-08 15:29:09.945000,Cotton,/opt/lib,cotton-20220124-9xol.json,2023-02-08 15:29:09.945000
71,2023-02-09 18:34:09.739000,Bronze,/usr,bronze-20211101-nx5c.json,2023-02-09 18:34:09.739000
22,2022-12-01 10:54:09.825000,Fresh,/boot,fresh-20210615-opko.json,2022-12-01 10:54:09.825000
61,2023-01-23 08:43:10.190000,Cotton,/tmp,cotton-20220616-8nc6.json,2023-01-23 08:43:10.190000
13,2022-11-10 18:28:10.197000,Granite,/net,granite-20220705-4y7t.json,2022-11-10 18:28:10.197000
63,2023-01-31 14:30:09.897000,Fresh,/etc,fresh-20220123-y982.json,2023-01-31 14:30:09.897000
27,2022-12-06 17:18:09.722000,Concrete,/net,concrete-20220508-l474.json,2022-12-06 17:18:09.722000
73,2023-02-16 09:33:10.030000,Granite,/opt/include,granite-20221221-ro5o.json,2023-02-16 09:33:10.030000
75,2023-02-22 12:32:10.146000,Frozen,/usr/libexec,frozen-20221126-uhaz.json,2023-02-22 12:32:10.146000
41,2022-12-30 10:06:10.081000,Granite,/home/user/dir,granite-20220125-ifwa.json,2022-12-30 10:06:10.081000
76,2023-02-22 18:26:10.092000,Fresh,/usr/ports,fresh-20220725-ytrh.json,2023-02-22 18:26:10.092000
77,2023-02-23 15:38:10.274000,Bronze,/home/user/dir,bronze-20220413-hku5.json,2023-02-23 15:38:10.274000
79,2023-02-27 16:23:10.294000,Cotton,/usr/libdata,cotton-20230204-8wx0.json,2023-02-27 16:23:10.294000
5,2022-11-03 14:20:49.962000,Granite,/System,granite-20220419-b6n4.json,2022-11-03 14:20:49.962000
